,iid_target,iid_neighbors
1325,13101,46798
1326,13101,13105
1327,13101,44906
1328,13101,39763
1329,13101,3933
1330,13101,41475
1331,13101,41474
1332,13101,13110
1333,13101,51341
1334,13101,52989
1335,13101,17819
1336,7084,28606
1337,7084,37953
1338,38383,11462
1339,240,3524
1340,240,9615
1341,240,10389
1342,14039,3858
1343,14039,47479
1344,4300,26084
1345,4300,25128
1346,4300,33149
1347,4300,25127
1348,3918,5413
1349,3918,2546
1350,3918,5797
1351,26794,3923
1352,8518,7628
1353,559,46960
1354,1411,21639
1355,37442,9054
1356,8627,14442
1357,721,25071
1358,721,3290
1359,3806,43218
1360,3823,27243
1361,3816,13563
1362,3816,22687
1363,3816,50442
1364,3812,48873
1365,3812,47576
1366,1377,17783
1367,1377,42109
1368,3810,3809
1369,3810,19785
1370,3810,39349
1371,3810,8252
1372,3810,27976
1373,3810,40242
1374,3810,49130
1375,3810,49559
1376,3810,46759
1377,3810,48679
1378,3810,42928
1379,3809,45724
1380,3809,19785
1381,3809,8252
1382,3809,24450
1383,3809,27976
1384,3809,40242
1385,3809,49130
1386,3809,49559
1387,3809,46759
1388,3809,48679
1389,3809,42928
1390,3826,39692
1391,3825,3875
1392,3821,8021
1393,1163,195
1394,1163,52828
1395,1163,19991
1396,787,23462
1397,787,41509
1398,3824,4190
1399,3828,1215
1400,3828,28491
1401,3828,35435
1402,3820,24200
1403,3820,27093
1404,3822,20495
1405,382,3703
1406,382,19596
1407,40409,26386
1408,7762,25726
1409,7762,8393
1410,7762,23422
1411,11580,8640
1412,11580,45503
1413,11580,2430
1414,1730,29400
1415,1730,23601
1416,1730,17798
1417,222,224
1418,4304,11238
1419,4344,23751
1420,5646,7408
1421,5646,5648
1422,5646,23089
1423,5646,8764
1424,5646,8766
1425,5646,8765
1426,5646,5649
1427,5646,5653
1428,5646,5654
1429,5646,5658
1430,5646,5655
1431,5646,5652
1432,5646,5645
1433,5646,5647
1434,5646,18854
1435,5646,18853
1436,5646,18855
1437,5646,13686
1438,5646,23397
1439,5646,13685
1440,5646,26936
1441,5646,38767
1442,5646,28711
1443,5646,18852
1444,5646,38768
1445,5646,30551
1446,5646,43074
1447,5583,5847
1448,5583,26152
1449,773,13086
1450,773,34921
1451,6405,5923
1452,20267,5274
1453,1515,8241
1454,17164,41698
1455,17164,30623
1456,6077,41317
1457,2118,3444
1458,2118,10368
1459,2118,17072
1460,22435,4583
1461,45493,23086
1462,45493,30376
1463,45493,30368
1464,45493,35838
1465,30371,35838
1466,30371,37768
1467,31996,30376
1468,31996,37767
1469,21569,17925
1470,21569,117
1471,21569,49670
1472,17925,5431
1473,17925,3587
1474,17925,49670
1475,15786,51266
1476,2280,24147
1477,2280,23131
1478,3869,19257
1479,3840,50550
1480,3440,3443
1481,3440,20031
1482,3861,33699
1483,3861,18087
1484,3861,24251
1485,2093,33972
1486,3885,2871
